,ticker,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,earningsPerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,Cluster
28,PRIO3.SA,0.1741176305953943,0.19087580116378466,0.053681670410105735,0.2894565580742831,,0.450592666302865,0.7374538341864645,0.5489712902287315,0.42488902445957555,1.0,0.5916790232921824,0.5324974576349372,0.7034748252817287,0.9732124508025463,0.22022622345445844,,1.0,1.0,0.12872149274782713,0.4407590080289693,0.25350864365384324,0.6875276405308836,0.8142777840169746,0.12464689437632225,0.17996972713676718,0.0,0
29,BRAP4.SA,0.032850477403362666,0.021024077821802562,0.13013040815724589,0.19155707512694017,,0.4072875910815194,0.6078602839139593,0.0,0.4592385979497941,0.4036460171683952,0.2596244573870408,1.0,0.23943278596476442,0.5120373634214214,0.0,,0.5787904765582876,0.8587041776119569,0.0,0.14608047643723296,0.0,1.0,1.0,0.0211216794125364,3.901942668680843e-05,0.4576741123579911,0
30,GOLL4.SA,0.025718968145577517,0.12790577339335632,0.2867271640258377,0.044098277361668964,,0.34225600632853015,0.0,0.4445758583882509,0.8472269672463597,0.05403794277862369,0.4773868342310646,0.44360034639365453,0.31866328213962275,0.4973684166128138,0.5568010201061716,,0.4053345281342119,0.0,0.16534344548180524,0.07156096565306973,0.25175001479647163,0.0,0.029455386077784442,0.0564338658153471,0.28160876586424327,0.2829361718579643,0
31,YDUQ3.SA,0.022749320292215068,0.033236553668065834,0.3738366785899748,0.4444814044202937,,0.4635022741302126,0.48290644227108553,0.4406028038956342,0.44083122296847244,0.45277645961706026,0.7079927378729663,0.5385626167586274,0.6119669836720268,0.46896169647288993,0.2188833806285166,,0.4865733900543487,0.3144074351098897,0.04442980452315923,0.07102630612430859,0.5265487723219039,0.2590209539980343,0.3796471983358885,0.02775056267603503,0.043797225245852826,0.49911208168238086,0
32,HYPE3.SA,0.08811507133555901,0.0918013960662463,0.5343102402111654,0.5026587265226752,,0.466067835470406,0.565368387730711,0.5749331463097958,0.7371736704553782,0.5034773603482817,0.688134669516247,0.14086940261037784,0.40018277492097737,0.43168004508900193,0.12411370779944003,,0.49535596972139045,0.3887833875014765,0.05532717551194623,0.06455863176444394,0.24840097375504228,0.23611115842781105,0.20422401013930552,0.05198652558170087,0.07783836399031425,0.5299928028191326,0
33,TIMS3.SA,0.2584987398606813,0.22151094945285077,0.3582982849888717,0.5541031573666287,,0.5160950519140425,0.4616421312165473,0.4842379023748902,0.4181776629619609,0.513834097639588,0.6647883296801042,0.5302507692174104,0.618625882890925,0.5125086895579465,0.12470922940050987,,0.5035896381592423,0.3008845346750557,0.21233796962442406,0.5391410427326736,0.19737015204157243,0.14657593696459165,0.21306062596264086,0.15958641646221816,0.12882823042598898,0.8402490008140658,0
34,FLRY3.SA,0.03832074113847107,0.039106103234180956,0.2867271640258377,0.4525579831164305,,0.4636443211624165,0.45532527197409384,0.419984021097744,0.42330349245528476,0.4701837148499722,0.4692323346724117,0.4823489560774119,0.5895452214583933,0.48644717878508864,0.16750504641856873,,0.4887690349711091,0.27271182543581834,0.06438196225298236,0.09401927766556231,0.31589562005847965,0.47666401191515523,0.6751829053163259,0.07359809556681855,0.044842146178561845,0.508524815426712,0
35,CRFB3.SA,0.09804130459230778,0.1511802228827358,0.23184417478606067,0.5151936128329013,,0.41998296461033185,0.46006291640593394,0.3538806144533453,0.4486285652909438,0.41730897546251283,0.3894200752455974,0.36455911872836855,0.4212519482307722,0.46482312788619295,0.6497140667672069,,0.47614407669973646,0.2028435065225095,0.9667577194868192,0.2954285769693538,0.3345982556460054,0.17462874786690585,0.1705139571836189,0.16507378487415825,0.20451757874206625,0.3722009908569438,0
36,MULT3.SA,0.0719571820884008,0.07150515512457177,0.28745888186116064,0.6022013164436119,,0.547885945832074,0.48191484227372366,0.8304416507487671,0.49686783353107994,0.8280986695093069,0.9271838392775942,1.0,0.7737574256311925,0.5873594048172286,0.05602573807712044,,0.5573829386198733,0.3470877778274051,0.02112226207040953,0.10815618870988312,0.29306402976234225,0.27141094547988975,0.11291231329817375,0.001938380196613265,0.04493861994929829,0.5117507034076344,0
37,MRFG3.SA,0.11832858263246007,0.3186309629512383,0.33881430948839386,1.0,,1.0,0.3781518598337317,0.36716979672175293,0.4474774256165956,0.41852401168104597,0.35904398681089583,0.3608331139618332,0.42182419218013134,0.5119338990630534,1.0,,0.5326819333063182,0.1588940801092991,1.0,0.6236233843645261,0.9742192172844799,0.2260589011878152,0.2192789852457287,0.5990402914513265,0.5210130507700431,0.7112069780059864,1
