ticker,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,earningsPerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow
GOLL4.SA,4707336704.0,33256445952.0,,-1.4554455,,-0.022323463,-65.85,1.659,25.314,-0.42297,0.28654,0.12179,0.00995,,47.644,,-0.37,-1.01,20044433408.0,1313745024.0,,0.253,0.208,1888370944.0,34526810112.0,-2952535808.0
YDUQ3.SA,4166252032.0,8605854720.0,14.27928,8.904494,,1.3383433,11.843,1.601,6.603,0.059439998,0.58998,0.2245,0.06633,0.100839995,18.705,,1.11,1.78,5374588928.0,1303394944.0,172.215,1.361,1.278,932182016.0,5369784832.0,723494720.0
HYPE3.SA,16076218368.0,23855351808.0,20.0,10.409836,,1.3671349,18.579,3.562,20.247,0.12078,0.56385,-0.20563999,0.02562,0.06841,10.589,,1.27,2.44,6696712192.0,1178192000.0,81.272,1.263,0.742,1740114048.0,9543418880.0,1248615552.0
TIMS3.SA,47120973824.0,57629974528.0,13.725352,11.740964,,1.9285573,10.106,2.238,5.56,0.13331,0.53313,0.21551001,0.06761,0.13871999,10.64,,1.42,1.66,25746042880.0,10365283328.0,64.587,0.88,0.769,5327072768.0,15795061760.0,6524463616.0
FLRY3.SA,7003442688.0,10134206464.0,11.173914,9.113476,,1.3399374,9.59,1.3,5.796,0.0805,0.27581,0.16370001,0.06202,0.11605,14.305,,1.15,1.41,7795283968.0,1748498944.0,103.34,2.292,2.181,2460559104.0,5497897984.0,883556480.0
CRFB3.SA,17884827648.0,39316799488.0,9.217391,10.734177,,0.84995484,9.977,0.335,6.962,0.01653,0.17079,0.0363,0.02967,0.09724,55.601,,0.92,0.79,117276000256.0,5647433216.0,109.455,1.0,0.639,5510000128.0,25074999296.0,-1434604416.0
MULT3.SA,13132170240.0,18570483712.0,11.199999,12.985507,,2.2853255,11.762,7.292,9.183,0.51352,0.87839997,1.01173,0.09743,0.20382999,4.758,,2.4,2.07,2546801920.0,2022164992.0,95.875,1.414,0.463,71705000.0,5509726208.0,938412096.0
MRFG3.SA,21581271040.0,82918719488.0,13.030768,63.524998,,7.7328057,3.286,0.529,6.909,0.018,0.13081999,0.03227,0.029779999,0.13822,163.041,,1.95,0.4,156675047424.0,12000714752.0,318.585,1.22,0.788,19976742912.0,63879114752.0,4330128384.0
ALPA4.SA,6129890304.0,6187354112.0,34.0,13.701492,,1.5335784,5.986,1.449,28.406,0.0458,0.44689998,0.116289996,0.01059,0.04982,6.303,,0.27,0.67,4268997120.0,217815008.0,26.436,2.167,1.587,1098646016.0,1071315968.0,427293888.0
EGIE3.SA,33502005248.0,56012541952.0,9.96602,9.799522,,2.7726383,14.809,4.819,8.249,0.28944,0.53624,0.51192003,0.07229,0.27629,14.244,,4.12,4.19,11622287360.0,6790253056.0,205.4,1.275,1.136,5574639104.0,27015497728.0,-2667381248.0
